author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
InDwell,real_estate_agent,https://kotelniki.cian.ru/rent/flat/307264595/,Талдом,rent,flat,16,25,1,38.0,52000,0,,,25к1,Котельники
Арина Пузанкова,realtor,https://kotelniki.cian.ru/rent/flat/307376127/,Талдом,rent,flat,7,22,1,34.2,43000,0,,,10,Котельники
МИЭЛЬ,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/306940729/,Талдом,rent,flat,3,17,1,24.0,38000,0,, Камова,3к2,Некрасовка
ID 19425961,unknown,https://podolsk.cian.ru/rent/flat/307523567/,Талдом,rent,flat,17,17,1,45.0,50000,0,,Юбилейная ,2а,Подольск
