author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
ID 121976236,homeowner,https://mytishchi.cian.ru/rent/flat/307543510/,Красногорск,rent,flat,15,18,1,54.8,50000,0,,Летная ,21,Медведково
ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://mytishchi.cian.ru/rent/flat/300009862/,Красногорск,rent,flat,4,10,1,43.0,35000,0,,,,
ID 72329732,realtor,https://dolgoprudny.cian.ru/rent/flat/307391754/,Красногорск,rent,flat,19,20,2,45.0,50000,0,,проспект Ракетостроителей,9к3,Долгопрудная
Максим Костромин,realtor,https://krasnogorsk.cian.ru/rent/flat/307496503/,Красногорск,rent,flat,5,16,1,27.0,42500,0,пос. Отрадное, Пятницкая,16,
Риэлт-сити МИР,real_estate_agent,https://khimki.cian.ru/rent/flat/307378982/,Красногорск,rent,flat,4,5,-1,22.0,40000,0,, Ивановская,12,Молжаниново
ID 71843527,homeowner,https://lobnya.cian.ru/rent/flat/307449317/,Красногорск,rent,flat,21,24,2,57.0,50000,0,,Центральная ,8,Лобня
